"No.","Protocol","Length","Time","Source","Info","Destination"
"284","UDP","54","11.545882445","127.0.0.1","43003  >  46724 Len=12","127.0.0.1"
"285","UDP","1042","11.545928247","127.0.0.1","33649  >  42003 Len=1000","127.0.0.1"
"286","UDP","1042","11.545963148","127.0.0.1","42003  >  33649 Len=1000","127.0.0.1"
"287","UDP","1042","11.545992912","127.0.0.1","53017  >  44003 Len=1000","127.0.0.1"
"288","UDP","1042","11.546019785","127.0.0.1","44003  >  53017 Len=1000","127.0.0.1"
"289","UDP","82","11.546046594","127.0.0.1","46692  >  43003 Len=40","127.0.0.1"
"290","UDP","54","11.546058864","127.0.0.1","43003  >  46692 Len=12","127.0.0.1"
"291","UDP","1042","11.546084088","127.0.0.1","37757  >  42003 Len=1000","127.0.0.1"
"292","UDP","1042","11.546096803","127.0.0.1","42003  >  37757 Len=1000","127.0.0.1"
"293","UDP","1042","11.546134954","127.0.0.1","40810  >  44003 Len=1000","127.0.0.1"
"294","UDP","1042","11.546147001","127.0.0.1","44003  >  40810 Len=1000","127.0.0.1"
"295","UDP","82","11.546170187","127.0.0.1","36774  >  43003 Len=40","127.0.0.1"
"296","UDP","54","11.546181653","127.0.0.1","43003  >  36774 Len=12","127.0.0.1"
"297","UDP","1042","11.546206361","127.0.0.1","39271  >  42003 Len=1000","127.0.0.1"
"298","UDP","1042","11.546217498","127.0.0.1","42003  >  39271 Len=1000","127.0.0.1"
"299","UDP","1042","11.546240472","127.0.0.1","42811  >  44003 Len=1000","127.0.0.1"
"300","UDP","1042","11.546250766","127.0.0.1","44003  >  42811 Len=1000","127.0.0.1"
"301","UDP","82","11.546275654","127.0.0.1","48455  >  43003 Len=40","127.0.0.1"
"302","UDP","54","11.546287303","127.0.0.1","43003  >  48455 Len=12","127.0.0.1"
"303","UDP","1042","11.546312538","127.0.0.1","41609  >  42003 Len=1000","127.0.0.1"
"304","UDP","1042","11.546348725","127.0.0.1","42003  >  41609 Len=1000","127.0.0.1"
"305","UDP","1042","11.546374462","127.0.0.1","53514  >  44003 Len=1000","127.0.0.1"
"306","UDP","1042","11.546390905","127.0.0.1","44003  >  53514 Len=1000","127.0.0.1"
"307","UDP","82","12.549148902","127.0.0.1","46492  >  43003 Len=40","127.0.0.1"
